ID,Название,Город,Компания,Описание
109309784,Тестировщик ПО,Нижний Новгород,Юрков Алексей,Уровень английского от B1. Хорошие аналитические способности. Многозадачность. Внимательность к деталям. Стрессоустойчивость. Грамотность. Хорошие коммуникативные навыки.
110715973,Стажер - QA инженер (Тестировщик ПО Python),Москва,Патрес,Apache Kafka. * Базовые знания Python. (и\или большое желание вырасти до разработчика Python). * Понимание принципов тестирования ПО (Желательно прохождение курсов). * 
110878369,Тестировщик-Интегратор,Москва,MediaNation,Начальное понимание Python. - Опыт ручного тестирования веб-сайтов.
110287206,Junior QA,Краснодар,"МАГНИТ, Розничная сеть",Внимательность к деталям. Знание жизненного цикла ПО. Знание Python на базовом уровне. Знание SQL на уровне средний и выше.
111395026,Начинающий тестировщик мобильных приложений,Москва,Павленко Елена Владимировна,Смартфон. Внимательность к мелочам.
109939663,QA VIP-manager,Москва,LLC Omniverse,"Имеет опыт работы в сфере <highlighttext>QA</highlighttext>. Знает правила ведения деловой переписки. Знает французский язык не ниже уровня C1, английский..."
109047033,QA Engineer Java/Инженер-тестировщик Java (ученик),Москва,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
109743179,QA Engineer Java/Инженер-тестировщик Java (стажер),Саратов,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
111392454,QA Engineer Java/Инженер-тестировщик Java (стажер),Нижний Новгород,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
111057635,QA Engineer Java/Инженер-тестировщик Java (ученик),Самара,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
110656417,QA Engineer Java/Инженер-тестировщик Java (ученик),Санкт-Петербург,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
110421278,QA Engineer Java/Инженер-тестировщик Java (ученик),Ижевск,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
111054900,QA Engineer Java/Инженер-тестировщик Java (стажер),Казань,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
110859975,QA Engineer Java/Инженер-тестировщик Java (стажер),Москва,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
111398303,QA Engineer Java/Инженер-тестировщик Java (ученик),Ростов-на-Дону,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
110292485,QA Engineer Java/Инженер-тестировщик Java (ученик),Уфа,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
110956642,QA Engineer Java/Инженер-тестировщик Java (ученик),Минск,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
110112229,QA Engineer Java/Инженер-тестировщик Java (ученик),Екатеринбург,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
109947547,QA Engineer Java/Инженер-тестировщик Java (стажер),Краснодар,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
109718773,QA Engineer Java/Инженер-тестировщик Java (ученик),Новосибирск,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
109657274,QA Engineer Java/Инженер-тестировщик Java (стажер),Самара,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
111056118,QA Engineer Java/Инженер-тестировщик Java (ученик),Гомель,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
110316708,QA Engineer Java/Инженер-тестировщик Java (стажер),Воронеж,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
109743180,QA Engineer Java/Инженер-тестировщик Java (стажер),Тольятти,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
110956641,QA Engineer Java/Инженер-тестировщик Java (стажер),Ростов-на-Дону,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
109226640,QA Engineer Java / Инженер-тестировщик Java (ученик),Нижний Новгород,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
110417064,QA Engineer Java/Инженер-тестировщик Java (стажер),Санкт-Петербург,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
109049902,QA Engineer Java/Инженер-тестировщик Java (стажер),Екатеринбург,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
109466293,QA Engineer Java/Инженер-тестировщик Java (ученик),Иннополис,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
109657273,QA Engineer Java/Инженер-тестировщик Java (ученик),Воронеж,Aston,Теория + практика + домашние задания. Требования к кандидатам: Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile...
110111955,QA Engineer Java/Инженер-тестировщик Java (стажер),Тюмень,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
110292060,QA Engineer Java/Инженер-тестировщик Java (стажер),Гомель,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания с Java. Знание основ работы с...
109466294,QA Engineer Java/Инженер-тестировщик Java (стажер),Уфа,Aston,Уверенные знания теории тестирования. Понимание SQL. Понимание принципов работы WEB / Mobile приложений. Базовые знания Java. Знание основ работы с инструментами...
